experiment	val_acc	status	description
baseline	0.259544	keep	AutoencoderTransformer baseline: latent_dim=64, hidden_units=128, depth=1, epochs=10
baseline	0.250597	discard	latent_dim=32 (reduced from 64)
baseline	0.253914	discard	latent_dim=128 (increased from 64)
baseline	0.255340	discard	latent_dim=256 (increased from 64)
baseline	0.250527	discard	hidden_units=64 (reduced from 128)
baseline	0.253627	discard	hidden_units=256 (increased from 128)
baseline	0.252788	discard	depth=2 (increased from 1)
baseline	0.253272	discard	depth=3 (increased from 1)
baseline	0.258994	discard	epochs=20 (increased from 10)
baseline	0.253092	discard	epochs=5 (reduced from 10)
baseline	0.254895	discard	batch_size=32 (reduced from 64)
baseline	0.250695	discard	batch_size=128 (increased from 64)
baseline	0.238693	discard	activation='tanh' (changed from 'relu')
baseline	0.252906	discard	early_stopping=False (disabled)
baseline	0.252277	discard	latent_dim=80 (fine-tuning)
baseline	0.254924	discard	latent_dim=48 (fine-tuning)
baseline	0.253905	discard	epochs=15 (fine-tuning)
baseline	0.258033	discard	epochs=12 (fine-tuning)
baseline	0.253925	discard	hidden_units=96 (fine-tuning)
baseline	0.260438	keep	hidden_units=160 (fine-tuning)
